380	223
394	202
419	198
447	215
426	226
669	214
690	179
698	205
678	196
712	190
734	248
703	247
677	252
685	224
718	216
706	229
405	219
446	233
492	236
482	199
468	166
446	171
445	186
464	205
431	254
465	238
473	222
653	234
637	212
649	180
658	195
656	210
506	217
510	184
490	179
675	243
693	261
713	263
727	235
693	240
663	226
512	204
469	186
493	156
497	201
603	214
617	191
617	191
598	192
598	170
612	156
632	169
630	202
531	214
537	196
530	170
517	161
552	179
553	206
527	234
502	250
508	230
487	215
487	215
469	256
494	200
526	187
545	194
614	206
619	229
639	236
649	246
650	161
670	165
500	171
431	207
428	182
613	179
640	194
666	183
694	219
536	154
517	150
481	165
